tempo,V,spike
0,-64.900000,0
1,-64.800500,0
2,-64.701498,0
3,-64.602990,0
4,-64.504975,0
5,-64.407450,0
6,-64.310413,0
7,-64.213861,0
8,-64.117792,0
9,-64.022203,0
10,-63.927092,0
11,-63.832456,0
12,-63.738294,0
13,-63.644602,0
14,-63.551379,0
15,-63.458622,0
16,-63.366329,0
17,-63.274498,0
18,-63.183125,0
19,-63.092210,0
20,-63.001749,0
21,-62.911740,0
22,-62.822181,0
23,-62.733070,0
24,-62.644405,0
25,-62.556183,0
26,-62.468402,0
27,-62.381060,0
28,-62.294155,0
29,-62.207684,0
30,-62.121645,0
31,-62.036037,0
32,-61.950857,0
33,-61.866103,0
34,-61.781772,0
35,-61.697863,0
36,-61.614374,0
37,-61.531302,0
38,-61.448646,0
39,-61.366402,0
40,-61.284570,0
41,-61.203148,0
42,-61.122132,0
43,-61.041521,0
44,-60.961314,0
45,-60.881507,0
46,-60.802099,0
47,-60.723089,0
48,-60.644474,0
49,-60.566251,0
50,-60.488420,0
51,-60.410978,0
52,-60.333923,0
53,-60.257253,0
54,-60.180967,0
55,-60.105062,0
56,-60.029537,0
57,-59.954389,0
58,-59.879617,0
59,-59.805219,0
60,-59.731193,0
61,-59.657537,0
62,-59.584249,0
63,-59.511328,0
64,-59.438772,0
65,-59.366578,0
66,-59.294745,0
67,-59.223271,0
68,-59.152155,0
69,-59.081394,0
70,-59.010987,0
71,-58.940932,0
72,-58.871227,0
73,-58.801871,0
74,-58.732862,0
75,-58.664198,0
76,-58.595877,0
77,-58.527897,0
78,-58.460258,0
79,-58.392956,0
80,-58.325992,0
81,-58.259362,0
82,-58.193065,0
83,-58.127100,0
84,-58.061464,0
85,-57.996157,0
86,-57.931176,0
87,-57.866520,0
88,-57.802187,0
89,-57.738177,0
90,-57.674486,0
91,-57.611113,0
92,-57.548058,0
93,-57.485317,0
94,-57.422891,0
95,-57.360776,0
96,-57.298972,0
97,-57.237478,0
98,-57.176290,0
99,-57.115409,0
100,-57.054832,0
101,-56.994558,0
102,-56.934585,0
103,-56.874912,0
104,-56.815537,0
105,-56.756460,0
106,-56.697677,0
107,-56.639189,0
108,-56.580993,0
109,-56.523088,0
110,-56.465473,0
111,-56.408145,0
112,-56.351104,0
113,-56.294349,0
114,-56.237877,0
115,-56.181688,0
116,-56.125779,0
117,-56.070150,0
118,-56.014800,0
119,-55.959726,0
120,-55.904927,0
121,-55.850402,0
122,-55.796150,0
123,-55.742170,0
124,-55.688459,0
125,-55.635017,0
126,-55.581841,0
127,-55.528932,0
128,-55.476288,0
129,-55.423906,0
130,-55.371787,0
131,-55.319928,0
132,-55.268328,0
133,-55.216986,0
134,-55.165901,0
135,-55.115072,0
136,-55.064497,0
137,-55.014174,0
138,-54.964103,0
139,-54.914283,0
140,-54.864711,0
141,-54.815388,0
142,-54.766311,0
143,-54.717479,0
144,-54.668892,0
145,-54.620547,0
146,-54.572445,0
147,-54.524582,0
148,-54.476960,0
149,-54.429575,0
150,-54.382427,0
151,-54.335515,0
152,-54.288837,0
153,-54.242393,0
154,-54.196181,0
155,-54.150200,0
156,-54.104449,0
157,-54.058927,0
158,-54.013632,0
159,-53.968564,0
160,-53.923721,0
161,-53.879103,0
162,-53.834707,0
163,-53.790534,0
164,-53.746581,0
165,-53.702848,0
166,-53.659334,0
167,-53.616037,0
168,-53.572957,0
169,-53.530092,0
170,-53.487442,0
171,-53.445004,0
172,-53.402779,0
173,-53.360766,0
174,-53.318962,0
175,-53.277367,0
176,-53.235980,0
177,-53.194800,0
178,-53.153826,0
179,-53.113057,0
180,-53.072492,0
181,-53.032129,0
182,-52.991969,0
183,-52.952009,0
184,-52.912249,0
185,-52.872688,0
186,-52.833324,0
187,-52.794157,0
188,-52.755187,0
189,-52.716411,0
190,-52.677829,0
191,-52.639440,0
192,-52.601242,0
193,-52.563236,0
194,-52.525420,0
195,-52.487793,0
196,-52.450354,0
197,-52.413102,0
198,-52.376037,0
199,-52.339156,0
200,-52.302461,0
201,-52.265948,0
202,-52.229619,0
203,-52.193471,0
204,-52.157503,0
205,-52.121716,0
206,-52.086107,0
207,-52.050677,0
208,-52.015423,0
209,-51.980346,0
210,-51.945444,0
211,-51.910717,0
212,-51.876163,0
213,-51.841783,0
214,-51.807574,0
215,-51.773536,0
216,-51.739668,0
217,-51.705970,0
218,-51.672440,0
219,-51.639078,0
220,-51.605882,0
221,-51.572853,0
222,-51.539989,0
223,-51.507289,0
224,-51.474752,0
225,-51.442379,0
226,-51.410167,0
227,-51.378116,0
228,-51.346225,0
229,-51.314494,0
230,-51.282922,0
231,-51.251507,0
232,-51.220250,0
233,-51.189148,0
234,-51.158203,0
235,-51.127412,0
236,-51.096775,0
237,-51.066291,0
238,-51.035959,0
239,-51.005779,0
240,-50.975750,0
241,-50.945872,0
242,-50.916142,0
243,-50.886562,0
244,-50.857129,0
245,-50.827843,0
246,-50.798704,0
247,-50.769710,0
248,-50.740862,0
249,-50.712158,0
250,-50.683597,0
251,-50.655179,0
252,-50.626903,0
253,-50.598768,0
254,-50.570775,0
255,-50.542921,0
256,-50.515206,0
257,-50.487630,0
258,-50.460192,0
259,-50.432891,0
260,-50.405727,0
261,-50.378698,0
262,-50.351804,0
263,-50.325045,0
264,-50.298420,0
265,-50.271928,0
266,-50.245568,0
267,-50.219341,0
268,-50.193244,0
269,-50.167278,0
270,-50.141441,0
271,-50.115734,0
272,-50.090155,0
273,-50.064705,0
274,-50.039381,0
275,-50.014184,0
276,-65.000000,1
277,-64.900000,0
278,-64.800500,0
279,-64.701498,0
280,-64.602990,0
281,-64.504975,0
282,-64.407450,0
283,-64.310413,0
284,-64.213861,0
285,-64.117792,0
286,-64.022203,0
287,-63.927092,0
288,-63.832456,0
289,-63.738294,0
290,-63.644602,0
291,-63.551379,0
292,-63.458622,0
293,-63.366329,0
294,-63.274498,0
295,-63.183125,0
296,-63.092210,0
297,-63.001749,0
298,-62.911740,0
299,-62.822181,0
300,-62.733070,0
301,-62.644405,0
302,-62.556183,0
303,-62.468402,0
304,-62.381060,0
305,-62.294155,0
306,-62.207684,0
307,-62.121645,0
308,-62.036037,0
309,-61.950857,0
310,-61.866103,0
311,-61.781772,0
312,-61.697863,0
313,-61.614374,0
314,-61.531302,0
315,-61.448646,0
316,-61.366402,0
317,-61.284570,0
318,-61.203148,0
319,-61.122132,0
320,-61.041521,0
321,-60.961314,0
322,-60.881507,0
323,-60.802099,0
324,-60.723089,0
325,-60.644474,0
326,-60.566251,0
327,-60.488420,0
328,-60.410978,0
329,-60.333923,0
330,-60.257253,0
331,-60.180967,0
332,-60.105062,0
333,-60.029537,0
334,-59.954389,0
335,-59.879617,0
336,-59.805219,0
337,-59.731193,0
338,-59.657537,0
339,-59.584249,0
340,-59.511328,0
341,-59.438772,0
342,-59.366578,0
343,-59.294745,0
344,-59.223271,0
345,-59.152155,0
346,-59.081394,0
347,-59.010987,0
348,-58.940932,0
349,-58.871227,0
350,-58.801871,0
351,-58.732862,0
352,-58.664198,0
353,-58.595877,0
354,-58.527897,0
355,-58.460258,0
356,-58.392956,0
357,-58.325992,0
358,-58.259362,0
359,-58.193065,0
360,-58.127100,0
361,-58.061464,0
362,-57.996157,0
363,-57.931176,0
364,-57.866520,0
365,-57.802187,0
366,-57.738177,0
367,-57.674486,0
368,-57.611113,0
369,-57.548058,0
370,-57.485317,0
371,-57.422891,0
372,-57.360776,0
373,-57.298972,0
374,-57.237478,0
375,-57.176290,0
376,-57.115409,0
377,-57.054832,0
378,-56.994558,0
379,-56.934585,0
380,-56.874912,0
381,-56.815537,0
382,-56.756460,0
383,-56.697677,0
384,-56.639189,0
385,-56.580993,0
386,-56.523088,0
387,-56.465473,0
388,-56.408145,0
389,-56.351104,0
390,-56.294349,0
391,-56.237877,0
392,-56.181688,0
393,-56.125779,0
394,-56.070150,0
395,-56.014800,0
396,-55.959726,0
397,-55.904927,0
398,-55.850402,0
399,-55.796150,0
400,-55.742170,0
401,-55.688459,0
402,-55.635017,0
403,-55.581841,0
404,-55.528932,0
405,-55.476288,0
406,-55.423906,0
407,-55.371787,0
408,-55.319928,0
409,-55.268328,0
410,-55.216986,0
411,-55.165901,0
412,-55.115072,0
413,-55.064497,0
414,-55.014174,0
415,-54.964103,0
416,-54.914283,0
417,-54.864711,0
418,-54.815388,0
419,-54.766311,0
420,-54.717479,0
421,-54.668892,0
422,-54.620547,0
423,-54.572445,0
424,-54.524582,0
425,-54.476960,0
426,-54.429575,0
427,-54.382427,0
428,-54.335515,0
429,-54.288837,0
430,-54.242393,0
431,-54.196181,0
432,-54.150200,0
433,-54.104449,0
434,-54.058927,0
435,-54.013632,0
436,-53.968564,0
437,-53.923721,0
438,-53.879103,0
439,-53.834707,0
440,-53.790534,0
441,-53.746581,0
442,-53.702848,0
443,-53.659334,0
444,-53.616037,0
445,-53.572957,0
446,-53.530092,0
447,-53.487442,0
448,-53.445004,0
449,-53.402779,0
450,-53.360766,0
451,-53.318962,0
452,-53.277367,0
453,-53.235980,0
454,-53.194800,0
455,-53.153826,0
456,-53.113057,0
457,-53.072492,0
458,-53.032129,0
459,-52.991969,0
460,-52.952009,0
461,-52.912249,0
462,-52.872688,0
463,-52.833324,0
464,-52.794157,0
465,-52.755187,0
466,-52.716411,0
467,-52.677829,0
468,-52.639440,0
469,-52.601242,0
470,-52.563236,0
471,-52.525420,0
472,-52.487793,0
473,-52.450354,0
474,-52.413102,0
475,-52.376037,0
476,-52.339156,0
477,-52.302461,0
478,-52.265948,0
479,-52.229619,0
480,-52.193471,0
481,-52.157503,0
482,-52.121716,0
483,-52.086107,0
484,-52.050677,0
485,-52.015423,0
486,-51.980346,0
487,-51.945444,0
488,-51.910717,0
489,-51.876163,0
490,-51.841783,0
491,-51.807574,0
492,-51.773536,0
493,-51.739668,0
494,-51.705970,0
495,-51.672440,0
496,-51.639078,0
497,-51.605882,0
498,-51.572853,0
499,-51.539989,0
500,-51.507289,0
501,-51.474752,0
502,-51.442379,0
503,-51.410167,0
504,-51.378116,0
505,-51.346225,0
506,-51.314494,0
507,-51.282922,0
508,-51.251507,0
509,-51.220250,0
510,-51.189148,0
511,-51.158203,0
512,-51.127412,0
513,-51.096775,0
514,-51.066291,0
515,-51.035959,0
516,-51.005779,0
517,-50.975750,0
518,-50.945872,0
519,-50.916142,0
520,-50.886562,0
521,-50.857129,0
522,-50.827843,0
523,-50.798704,0
524,-50.769710,0
525,-50.740862,0
526,-50.712158,0
527,-50.683597,0
528,-50.655179,0
529,-50.626903,0
530,-50.598768,0
531,-50.570775,0
532,-50.542921,0
533,-50.515206,0
534,-50.487630,0
535,-50.460192,0
536,-50.432891,0
537,-50.405727,0
538,-50.378698,0
539,-50.351804,0
540,-50.325045,0
541,-50.298420,0
542,-50.271928,0
543,-50.245568,0
544,-50.219341,0
545,-50.193244,0
546,-50.167278,0
547,-50.141441,0
548,-50.115734,0
549,-50.090155,0
550,-50.064705,0
551,-50.039381,0
552,-50.014184,0
553,-65.000000,1
554,-64.900000,0
555,-64.800500,0
556,-64.701498,0
557,-64.602990,0
558,-64.504975,0
559,-64.407450,0
560,-64.310413,0
561,-64.213861,0
562,-64.117792,0
563,-64.022203,0
564,-63.927092,0
565,-63.832456,0
566,-63.738294,0
567,-63.644602,0
568,-63.551379,0
569,-63.458622,0
570,-63.366329,0
571,-63.274498,0
572,-63.183125,0
573,-63.092210,0
574,-63.001749,0
575,-62.911740,0
576,-62.822181,0
577,-62.733070,0
578,-62.644405,0
579,-62.556183,0
580,-62.468402,0
581,-62.381060,0
582,-62.294155,0
583,-62.207684,0
584,-62.121645,0
585,-62.036037,0
586,-61.950857,0
587,-61.866103,0
588,-61.781772,0
589,-61.697863,0
590,-61.614374,0
591,-61.531302,0
592,-61.448646,0
593,-61.366402,0
594,-61.284570,0
595,-61.203148,0
596,-61.122132,0
597,-61.041521,0
598,-60.961314,0
599,-60.881507,0
600,-60.802099,0
601,-60.723089,0
602,-60.644474,0
603,-60.566251,0
604,-60.488420,0
605,-60.410978,0
606,-60.333923,0
607,-60.257253,0
608,-60.180967,0
609,-60.105062,0
610,-60.029537,0
611,-59.954389,0
612,-59.879617,0
613,-59.805219,0
614,-59.731193,0
615,-59.657537,0
616,-59.584249,0
617,-59.511328,0
618,-59.438772,0
619,-59.366578,0
620,-59.294745,0
621,-59.223271,0
622,-59.152155,0
623,-59.081394,0
624,-59.010987,0
625,-58.940932,0
626,-58.871227,0
627,-58.801871,0
628,-58.732862,0
629,-58.664198,0
630,-58.595877,0
631,-58.527897,0
632,-58.460258,0
633,-58.392956,0
634,-58.325992,0
635,-58.259362,0
636,-58.193065,0
637,-58.127100,0
638,-58.061464,0
639,-57.996157,0
640,-57.931176,0
641,-57.866520,0
642,-57.802187,0
643,-57.738177,0
644,-57.674486,0
645,-57.611113,0
646,-57.548058,0
647,-57.485317,0
648,-57.422891,0
649,-57.360776,0
650,-57.298972,0
651,-57.237478,0
652,-57.176290,0
653,-57.115409,0
654,-57.054832,0
655,-56.994558,0
656,-56.934585,0
657,-56.874912,0
658,-56.815537,0
659,-56.756460,0
660,-56.697677,0
661,-56.639189,0
662,-56.580993,0
663,-56.523088,0
664,-56.465473,0
665,-56.408145,0
666,-56.351104,0
667,-56.294349,0
668,-56.237877,0
669,-56.181688,0
670,-56.125779,0
671,-56.070150,0
672,-56.014800,0
673,-55.959726,0
674,-55.904927,0
675,-55.850402,0
676,-55.796150,0
677,-55.742170,0
678,-55.688459,0
679,-55.635017,0
680,-55.581841,0
681,-55.528932,0
682,-55.476288,0
683,-55.423906,0
684,-55.371787,0
685,-55.319928,0
686,-55.268328,0
687,-55.216986,0
688,-55.165901,0
689,-55.115072,0
690,-55.064497,0
691,-55.014174,0
692,-54.964103,0
693,-54.914283,0
694,-54.864711,0
695,-54.815388,0
696,-54.766311,0
697,-54.717479,0
698,-54.668892,0
699,-54.620547,0
700,-54.572445,0
701,-54.524582,0
702,-54.476960,0
703,-54.429575,0
704,-54.382427,0
705,-54.335515,0
706,-54.288837,0
707,-54.242393,0
708,-54.196181,0
709,-54.150200,0
710,-54.104449,0
711,-54.058927,0
712,-54.013632,0
713,-53.968564,0
714,-53.923721,0
715,-53.879103,0
716,-53.834707,0
717,-53.790534,0
718,-53.746581,0
719,-53.702848,0
720,-53.659334,0
721,-53.616037,0
722,-53.572957,0
723,-53.530092,0
724,-53.487442,0
725,-53.445004,0
726,-53.402779,0
727,-53.360766,0
728,-53.318962,0
729,-53.277367,0
730,-53.235980,0
731,-53.194800,0
732,-53.153826,0
733,-53.113057,0
734,-53.072492,0
735,-53.032129,0
736,-52.991969,0
737,-52.952009,0
738,-52.912249,0
739,-52.872688,0
740,-52.833324,0
741,-52.794157,0
742,-52.755187,0
743,-52.716411,0
744,-52.677829,0
745,-52.639440,0
746,-52.601242,0
747,-52.563236,0
748,-52.525420,0
749,-52.487793,0
750,-52.450354,0
751,-52.413102,0
752,-52.376037,0
753,-52.339156,0
754,-52.302461,0
755,-52.265948,0
756,-52.229619,0
757,-52.193471,0
758,-52.157503,0
759,-52.121716,0
760,-52.086107,0
761,-52.050677,0
762,-52.015423,0
763,-51.980346,0
764,-51.945444,0
765,-51.910717,0
766,-51.876163,0
767,-51.841783,0
768,-51.807574,0
769,-51.773536,0
770,-51.739668,0
771,-51.705970,0
772,-51.672440,0
773,-51.639078,0
774,-51.605882,0
775,-51.572853,0
776,-51.539989,0
777,-51.507289,0
778,-51.474752,0
779,-51.442379,0
780,-51.410167,0
781,-51.378116,0
782,-51.346225,0
783,-51.314494,0
784,-51.282922,0
785,-51.251507,0
786,-51.220250,0
787,-51.189148,0
788,-51.158203,0
789,-51.127412,0
790,-51.096775,0
791,-51.066291,0
792,-51.035959,0
793,-51.005779,0
794,-50.975750,0
795,-50.945872,0
796,-50.916142,0
797,-50.886562,0
798,-50.857129,0
799,-50.827843,0
800,-50.798704,0
801,-50.769710,0
802,-50.740862,0
803,-50.712158,0
804,-50.683597,0
805,-50.655179,0
806,-50.626903,0
807,-50.598768,0
808,-50.570775,0
809,-50.542921,0
810,-50.515206,0
811,-50.487630,0
812,-50.460192,0
813,-50.432891,0
814,-50.405727,0
815,-50.378698,0
816,-50.351804,0
817,-50.325045,0
818,-50.298420,0
819,-50.271928,0
820,-50.245568,0
821,-50.219341,0
822,-50.193244,0
823,-50.167278,0
824,-50.141441,0
825,-50.115734,0
826,-50.090155,0
827,-50.064705,0
828,-50.039381,0
829,-50.014184,0
830,-65.000000,1
831,-64.900000,0
832,-64.800500,0
833,-64.701498,0
834,-64.602990,0
835,-64.504975,0
836,-64.407450,0
837,-64.310413,0
838,-64.213861,0
839,-64.117792,0
840,-64.022203,0
841,-63.927092,0
842,-63.832456,0
843,-63.738294,0
844,-63.644602,0
845,-63.551379,0
846,-63.458622,0
847,-63.366329,0
848,-63.274498,0
849,-63.183125,0
850,-63.092210,0
851,-63.001749,0
852,-62.911740,0
853,-62.822181,0
854,-62.733070,0
855,-62.644405,0
856,-62.556183,0
857,-62.468402,0
858,-62.381060,0
859,-62.294155,0
860,-62.207684,0
861,-62.121645,0
862,-62.036037,0
863,-61.950857,0
864,-61.866103,0
865,-61.781772,0
866,-61.697863,0
867,-61.614374,0
868,-61.531302,0
869,-61.448646,0
870,-61.366402,0
871,-61.284570,0
872,-61.203148,0
873,-61.122132,0
874,-61.041521,0
875,-60.961314,0
876,-60.881507,0
877,-60.802099,0
878,-60.723089,0
879,-60.644474,0
880,-60.566251,0
881,-60.488420,0
882,-60.410978,0
883,-60.333923,0
884,-60.257253,0
885,-60.180967,0
886,-60.105062,0
887,-60.029537,0
888,-59.954389,0
889,-59.879617,0
890,-59.805219,0
891,-59.731193,0
892,-59.657537,0
893,-59.584249,0
894,-59.511328,0
895,-59.438772,0
896,-59.366578,0
897,-59.294745,0
898,-59.223271,0
899,-59.152155,0
900,-59.081394,0
901,-59.010987,0
902,-58.940932,0
903,-58.871227,0
904,-58.801871,0
905,-58.732862,0
906,-58.664198,0
907,-58.595877,0
908,-58.527897,0
909,-58.460258,0
910,-58.392956,0
911,-58.325992,0
912,-58.259362,0
913,-58.193065,0
914,-58.127100,0
915,-58.061464,0
916,-57.996157,0
917,-57.931176,0
918,-57.866520,0
919,-57.802187,0
920,-57.738177,0
921,-57.674486,0
922,-57.611113,0
923,-57.548058,0
924,-57.485317,0
925,-57.422891,0
926,-57.360776,0
927,-57.298972,0
928,-57.237478,0
929,-57.176290,0
930,-57.115409,0
931,-57.054832,0
932,-56.994558,0
933,-56.934585,0
934,-56.874912,0
935,-56.815537,0
936,-56.756460,0
937,-56.697677,0
938,-56.639189,0
939,-56.580993,0
940,-56.523088,0
941,-56.465473,0
942,-56.408145,0
943,-56.351104,0
944,-56.294349,0
945,-56.237877,0
946,-56.181688,0
947,-56.125779,0
948,-56.070150,0
949,-56.014800,0
950,-55.959726,0
951,-55.904927,0
952,-55.850402,0
953,-55.796150,0
954,-55.742170,0
955,-55.688459,0
956,-55.635017,0
957,-55.581841,0
958,-55.528932,0
959,-55.476288,0
960,-55.423906,0
961,-55.371787,0
962,-55.319928,0
963,-55.268328,0
964,-55.216986,0
965,-55.165901,0
966,-55.115072,0
967,-55.064497,0
968,-55.014174,0
969,-54.964103,0
970,-54.914283,0
971,-54.864711,0
972,-54.815388,0
973,-54.766311,0
974,-54.717479,0
975,-54.668892,0
976,-54.620547,0
977,-54.572445,0
978,-54.524582,0
979,-54.476960,0
980,-54.429575,0
981,-54.382427,0
982,-54.335515,0
983,-54.288837,0
984,-54.242393,0
985,-54.196181,0
986,-54.150200,0
987,-54.104449,0
988,-54.058927,0
989,-54.013632,0
990,-53.968564,0
991,-53.923721,0
992,-53.879103,0
993,-53.834707,0
994,-53.790534,0
995,-53.746581,0
996,-53.702848,0
997,-53.659334,0
998,-53.616037,0
999,-53.572957,0
