tempo,V,spike,corrente_externa,corrente_sinaptica
0,-65.00,0,0.00,0.00
1,-65.00,0,0.00,0.00
2,-65.00,0,0.00,0.00
3,-65.00,0,0.00,0.00
4,-65.00,0,0.00,0.00
5,-65.00,0,0.00,0.00
6,-65.00,0,0.00,0.00
7,-65.00,0,0.00,0.00
8,-65.00,0,0.00,0.00
9,-65.00,0,0.00,0.00
10,-65.00,0,0.00,0.00
11,-65.00,0,0.00,0.00
12,-65.00,0,0.00,0.00
13,-65.00,0,0.00,0.00
14,-65.00,0,0.00,0.00
15,-65.00,0,0.00,0.00
16,-65.00,0,0.00,0.00
17,-65.00,0,0.00,0.00
18,-65.00,0,0.00,0.00
19,-65.00,0,0.00,0.00
20,-65.00,0,0.00,0.00
21,-65.00,0,0.00,0.00
22,-65.00,0,0.00,0.00
23,-65.00,0,0.00,0.00
24,-65.00,0,0.00,0.00
25,-65.00,0,0.00,0.00
26,-65.00,0,0.00,0.00
27,-65.00,0,0.00,0.00
28,-65.00,0,0.00,0.00
29,-65.00,0,0.00,0.00
30,-65.00,0,0.00,0.00
31,-65.00,0,0.00,0.00
32,-65.00,0,0.00,0.00
33,-65.00,0,0.00,0.00
34,-65.00,0,0.00,0.00
35,-65.00,0,0.00,0.00
36,-65.00,0,0.00,0.00
37,-65.00,0,0.00,0.00
38,-65.00,0,0.00,0.00
39,-65.00,0,0.00,0.00
40,-65.00,0,0.00,0.00
41,-65.00,0,0.00,0.00
42,-65.00,0,0.00,0.00
43,-65.00,0,0.00,0.00
44,-65.00,0,0.00,0.00
45,-65.00,0,0.00,0.00
46,-65.00,0,0.00,0.00
47,-65.00,0,0.00,0.00
48,-65.00,0,0.00,0.00
49,-65.00,0,0.00,0.00
50,-65.00,0,0.00,0.00
51,-65.00,0,0.00,0.00
52,-65.00,0,0.00,0.00
53,-65.00,0,0.00,0.00
54,-65.00,0,0.00,0.00
55,-65.00,0,0.00,0.00
56,-65.00,0,0.00,0.00
57,-65.00,0,0.00,0.00
58,-65.00,0,0.00,0.00
59,-65.00,0,0.00,0.00
60,-65.00,0,0.00,0.00
61,-65.00,0,0.00,0.00
62,-65.00,0,0.00,0.00
63,-65.00,0,0.00,0.00
64,-65.00,0,0.00,0.00
65,-65.00,0,0.00,0.00
66,-65.00,0,0.00,0.00
67,-65.00,0,0.00,0.00
68,-65.00,0,0.00,0.00
69,-65.00,0,0.00,0.00
70,-65.00,0,0.00,0.00
71,-65.00,0,0.00,0.00
72,-65.00,0,0.00,0.00
73,-65.00,0,0.00,0.00
74,-65.00,0,0.00,0.00
75,-65.00,0,0.00,0.00
76,-65.00,0,0.00,0.00
77,-65.00,0,0.00,0.00
78,-65.00,0,0.00,0.00
79,-65.00,0,0.00,0.00
80,-65.00,0,0.00,0.00
81,-65.00,0,0.00,0.00
82,-65.00,0,0.00,0.00
83,-65.00,0,0.00,0.00
84,-65.00,0,0.00,0.00
85,-65.00,0,0.00,0.00
86,-65.00,0,0.00,0.00
87,-65.00,0,0.00,0.00
88,-65.00,0,0.00,0.00
89,-65.00,0,0.00,0.00
90,-65.00,0,0.00,0.00
91,-65.00,0,0.00,0.00
92,-65.00,0,0.00,0.00
93,-65.00,0,0.00,0.00
94,-65.00,0,0.00,0.00
95,-65.00,0,0.00,0.00
96,-65.00,0,0.00,0.00
97,-65.00,0,0.00,0.00
98,-65.00,0,0.00,0.00
99,-65.00,0,0.00,0.00
100,-65.00,0,0.00,0.00
101,-65.00,0,0.00,0.00
102,-65.00,0,0.00,0.00
103,-65.00,0,0.00,0.00
104,-65.00,0,0.00,0.00
105,-65.00,0,0.00,0.00
106,-65.00,0,0.00,0.00
107,-65.00,0,0.00,0.00
108,-65.00,0,0.00,0.00
109,-65.00,0,0.00,0.00
110,-65.00,0,0.00,0.00
111,-65.00,0,0.00,0.00
112,-65.00,0,0.00,0.00
113,-65.00,0,0.00,0.00
114,-65.00,0,0.00,0.00
115,-65.00,0,0.00,0.00
116,-65.00,0,0.00,0.00
117,-65.00,0,0.00,0.00
118,-65.00,0,0.00,0.00
119,-65.00,0,0.00,0.00
120,-65.00,0,0.00,0.00
121,-65.00,0,0.00,0.00
122,-65.00,0,0.00,0.00
123,-65.00,0,0.00,0.00
124,-65.00,0,0.00,0.00
125,-65.00,0,0.00,0.00
126,-65.00,0,0.00,0.00
127,-65.00,0,0.00,0.00
128,-65.00,0,0.00,0.00
129,-65.00,0,0.00,0.00
130,-65.00,0,0.00,0.00
131,-65.00,0,0.00,0.00
132,-65.00,0,0.00,0.00
133,-65.00,0,0.00,0.00
134,-65.00,0,0.00,0.00
135,-65.00,0,0.00,0.00
136,-65.00,0,0.00,0.00
137,-65.00,0,0.00,0.00
138,-65.00,0,0.00,0.00
139,-65.00,0,0.00,0.00
140,-65.00,0,0.00,0.00
141,-65.00,0,0.00,0.00
142,-65.00,0,0.00,0.00
143,-65.00,0,0.00,0.00
144,-65.00,0,0.00,0.00
145,-65.00,0,0.00,0.00
146,-65.00,0,0.00,0.00
147,-65.00,0,0.00,0.00
148,-65.00,0,0.00,0.00
149,-65.00,0,0.00,0.00
150,-65.00,0,0.00,0.00
151,-65.00,0,0.00,0.00
152,-65.00,0,0.00,0.00
153,-65.00,0,0.00,0.00
154,-65.00,0,0.00,0.00
155,-65.00,0,0.00,0.00
156,-65.00,0,0.00,0.00
157,-65.00,0,0.00,0.00
158,-65.00,0,0.00,0.00
159,-65.00,0,0.00,0.00
160,-65.00,0,0.00,0.00
161,-65.00,0,0.00,0.00
162,-65.00,0,0.00,0.00
163,-65.00,0,0.00,0.00
164,-65.00,0,0.00,0.00
165,-65.00,0,0.00,0.00
166,-65.00,0,0.00,0.00
167,-65.00,0,0.00,0.00
168,-65.00,0,0.00,0.00
169,-65.00,0,0.00,0.00
170,-65.00,0,0.00,0.00
171,-65.00,0,0.00,0.00
172,-65.00,0,0.00,0.00
173,-65.00,0,0.00,0.00
174,-65.00,0,0.00,0.00
175,-65.00,0,0.00,0.00
176,-65.00,0,0.00,0.00
177,-65.00,0,0.00,0.00
178,-65.00,0,0.00,0.00
179,-65.00,0,0.00,0.00
180,-65.00,0,0.00,0.00
181,-65.00,0,0.00,0.00
182,-65.00,0,0.00,0.00
183,-65.00,0,0.00,0.00
184,-65.00,0,0.00,0.00
185,-65.00,0,0.00,0.00
186,-65.00,0,0.00,0.00
187,-65.00,0,0.00,0.00
188,-65.00,0,0.00,0.00
189,-65.00,0,0.00,0.00
190,-65.00,0,0.00,0.00
191,-65.00,0,0.00,0.00
192,-65.00,0,0.00,0.00
193,-65.00,0,0.00,0.00
194,-65.00,0,0.00,0.00
195,-65.00,0,0.00,0.00
196,-65.00,0,0.00,0.00
197,-65.00,0,0.00,0.00
198,-65.00,0,0.00,0.00
199,-65.00,0,0.00,0.00
200,-65.00,0,0.00,0.00
201,-65.00,0,0.00,0.00
202,-65.00,0,0.00,0.00
203,-65.00,0,0.00,0.00
204,-65.00,0,0.00,0.00
205,-65.00,0,0.00,0.00
206,-65.00,0,0.00,0.00
207,-65.00,0,0.00,0.00
208,-65.00,0,0.00,0.00
209,-65.00,0,0.00,0.00
210,-65.00,0,0.00,0.00
211,-65.00,0,0.00,0.00
212,-65.00,0,0.00,0.00
213,-65.00,0,0.00,0.00
214,-65.00,0,0.00,0.00
215,-65.00,0,0.00,0.00
216,-65.00,0,0.00,0.00
217,-65.00,0,0.00,0.00
218,-65.00,0,0.00,0.00
219,-65.00,0,0.00,0.00
220,-65.00,0,0.00,0.00
221,-65.00,0,0.00,0.00
222,-65.00,0,0.00,0.00
223,-65.00,0,0.00,0.00
224,-65.00,0,0.00,0.00
225,-65.00,0,0.00,0.00
226,-65.00,0,0.00,0.00
227,-65.00,0,0.00,0.00
228,-65.00,0,0.00,0.00
229,-65.00,0,0.00,0.00
230,-65.00,0,0.00,0.00
231,-65.00,0,0.00,0.00
232,-65.00,0,0.00,0.00
233,-65.00,0,0.00,0.00
234,-65.00,0,0.00,0.00
235,-65.00,0,0.00,0.00
236,-65.00,0,0.00,0.00
237,-65.00,0,0.00,0.00
238,-65.00,0,0.00,0.00
239,-65.00,0,0.00,0.00
240,-65.00,0,0.00,0.00
241,-65.00,0,0.00,0.00
242,-65.00,0,0.00,0.00
243,-65.00,0,0.00,0.00
244,-65.00,0,0.00,0.00
245,-65.00,0,0.00,0.00
246,-65.00,0,0.00,0.00
247,-65.00,0,0.00,0.00
248,-65.00,0,0.00,0.00
249,-65.00,0,0.00,0.00
250,-65.00,0,0.00,0.00
251,-65.00,0,0.00,0.00
252,-65.00,0,0.00,0.00
253,-65.00,0,0.00,0.00
254,-65.00,0,0.00,0.00
255,-65.00,0,0.00,0.00
256,-65.00,0,0.00,0.00
257,-65.00,0,0.00,0.00
258,-65.00,0,0.00,0.00
259,-65.00,0,0.00,0.00
260,-65.00,0,0.00,0.00
261,-65.00,0,0.00,0.00
262,-65.00,0,0.00,0.00
263,-65.00,0,0.00,0.00
264,-65.00,0,0.00,0.00
265,-65.00,0,0.00,0.00
266,-65.00,0,0.00,0.00
267,-65.00,0,0.00,0.00
268,-65.00,0,0.00,0.00
269,-65.00,0,0.00,0.00
270,-65.00,0,0.00,0.00
271,-65.00,0,0.00,0.00
272,-65.00,0,0.00,0.00
273,-65.00,0,0.00,0.00
274,-65.00,0,0.00,0.00
275,-65.00,0,0.00,0.00
276,-65.00,0,0.00,0.00
277,-65.25,0,0.00,-50.00
278,-65.49,0,0.00,-47.50
279,-65.71,0,0.00,-45.12
280,-65.92,0,0.00,-42.87
281,-66.12,0,0.00,-40.73
282,-66.31,0,0.00,-38.69
283,-66.48,0,0.00,-36.75
284,-66.65,0,0.00,-34.92
285,-66.81,0,0.00,-33.17
286,-66.96,0,0.00,-31.51
287,-67.10,0,0.00,-29.94
288,-67.23,0,0.00,-28.44
289,-67.35,0,0.00,-27.02
290,-67.47,0,0.00,-25.67
291,-67.58,0,0.00,-24.38
292,-67.68,0,0.00,-23.16
293,-67.78,0,0.00,-22.01
294,-67.87,0,0.00,-20.91
295,-67.95,0,0.00,-19.86
296,-68.03,0,0.00,-18.87
297,-68.11,0,0.00,-17.92
298,-68.18,0,0.00,-17.03
299,-68.24,0,0.00,-16.18
300,-68.30,0,0.00,-15.37
301,-68.36,0,0.00,-14.60
302,-68.41,0,0.00,-13.87
303,-68.46,0,0.00,-13.18
304,-68.51,0,0.00,-12.52
305,-68.55,0,0.00,-11.89
306,-68.59,0,0.00,-11.30
307,-68.62,0,0.00,-10.73
308,-68.66,0,0.00,-10.20
309,-68.69,0,0.00,-9.69
310,-68.71,0,0.00,-9.20
311,-68.74,0,0.00,-8.74
312,-68.76,0,0.00,-8.30
313,-68.78,0,0.00,-7.89
314,-68.80,0,0.00,-7.49
315,-68.82,0,0.00,-7.12
316,-68.83,0,0.00,-6.76
317,-68.85,0,0.00,-6.43
318,-68.86,0,0.00,-6.10
319,-68.87,0,0.00,-5.80
320,-68.87,0,0.00,-5.51
321,-68.88,0,0.00,-5.23
322,-68.89,0,0.00,-4.97
323,-68.89,0,0.00,-4.72
324,-68.89,0,0.00,-4.49
325,-68.90,0,0.00,-4.26
326,-68.90,0,0.00,-4.05
327,-68.90,0,0.00,-3.85
328,-68.90,0,0.00,-3.65
329,-68.89,0,0.00,-3.47
330,-68.89,0,0.00,-3.30
331,-68.89,0,0.00,-3.13
332,-68.88,0,0.00,-2.98
333,-68.88,0,0.00,-2.83
334,-68.87,0,0.00,-2.69
335,-68.86,0,0.00,-2.55
336,-68.86,0,0.00,-2.42
337,-68.85,0,0.00,-2.30
338,-68.84,0,0.00,-2.19
339,-68.83,0,0.00,-2.08
340,-68.82,0,0.00,-1.97
341,-68.81,0,0.00,-1.88
342,-68.80,0,0.00,-1.78
343,-68.79,0,0.00,-1.69
344,-68.78,0,0.00,-1.61
345,-68.77,0,0.00,-1.53
346,-68.76,0,0.00,-1.45
347,-68.75,0,0.00,-1.38
348,-68.73,0,0.00,-1.31
349,-68.72,0,0.00,-1.24
350,-68.71,0,0.00,-1.18
351,-68.70,0,0.00,-1.12
352,-68.68,0,0.00,-1.07
353,-68.67,0,0.00,-1.01
354,-68.66,0,0.00,-0.96
355,-68.64,0,0.00,-0.91
356,-68.63,0,0.00,-0.87
357,-68.61,0,0.00,-0.83
358,-68.60,0,0.00,-0.78
359,-68.59,0,0.00,-0.75
360,-68.57,0,0.00,-0.71
361,-68.56,0,0.00,-0.67
362,-68.54,0,0.00,-0.64
363,-68.53,0,0.00,-0.61
364,-68.51,0,0.00,-0.58
365,-68.50,0,0.00,-0.55
366,-68.48,0,0.00,-0.52
367,-68.47,0,0.00,-0.49
368,-68.45,0,0.00,-0.47
369,-68.44,0,0.00,-0.45
370,-68.42,0,0.00,-0.42
371,-68.41,0,0.00,-0.40
372,-68.39,0,0.00,-0.38
373,-68.38,0,0.00,-0.36
374,-68.36,0,0.00,-0.35
375,-68.35,0,0.00,-0.33
376,-68.33,0,0.00,-0.31
377,-68.32,0,0.00,-0.30
378,-68.30,0,0.00,-0.28
379,-68.29,0,0.00,-0.27
380,-68.27,0,0.00,-0.25
381,-68.26,0,0.00,-0.24
382,-68.24,0,0.00,-0.23
383,-68.23,0,0.00,-0.22
384,-68.21,0,0.00,-0.21
385,-68.20,0,0.00,-0.20
386,-68.18,0,0.00,-0.19
387,-68.17,0,0.00,-0.18
388,-68.15,0,0.00,-0.17
389,-68.14,0,0.00,-0.16
390,-68.12,0,0.00,-0.15
391,-68.11,0,0.00,-0.14
392,-68.09,0,0.00,-0.14
393,-68.08,0,0.00,-0.13
394,-68.06,0,0.00,-0.12
395,-68.05,0,0.00,-0.12
396,-68.03,0,0.00,-0.11
397,-68.02,0,0.00,-0.11
398,-68.00,0,0.00,-0.10
399,-67.99,0,0.00,-0.10
